FPS,Latency,Graph,TotalParts,PartitionPoint1,PartitionPoint2,Order,InferenceTime1,InferenceTime2,InferenceTime3
12.0918,227.217,mobilenet,28,4,16,L-B-G,70.9013,82.4011,30.2467
5.50819,474.658,mobilenet,28,12,24,L-B-G,181.546,93.7997,22.8066
6.57627,426.662,mobilenet,28,12,16,L-B-G,152.06,27.0075,33.1821
3.96116,252.452,resnet50,18,18,18,G-B-L,252.052,0,0
4.24143,535.358,resnet50,18,10,14,G-B-L,152.438,145.909,235.677
2.57742,678.2,resnet50,18,4,14,G-B-L,52.2349,387.79,236.688
1.4843,883.554,resnet50,18,4,8,G-B-L,48.8476,159.884,673.513
2.38966,768.023,resnet50,18,4,11,G-B-L,55.5601,292.824,418.122
3.90642,601.376,resnet50,18,7,14,G-B-L,106.617,255.61,237.21
2.40596,675.993,resnet50,18,7,11,G-B-L,101.703,156.759,415.196
3.97011,251.882,resnet50,18,18,18,G-L-B,251.452,0,0
3.09007,624.826,resnet50,18,10,14,G-L-B,124.962,323.119,76.9504
1.36382,1384.62,resnet50,18,4,14,G-L-B,41.8677,732.78,76.1536
3.49932,571.931,resnet50,18,4,8,G-L-B,41.0055,285.298,155.49
1.73922,1018.03,resnet50,18,4,11,G-L-B,44.7627,574.331,108.849
1.82351,1002.21,resnet50,18,7,14,G-L-B,76.324,547.492,76.9466
2.62657,637.823,resnet50,18,7,11,G-L-B,77.9628,379.415,109.363
3.86359,258.827,resnet50,18,18,18,B-G-L,258.826,0,0
4.22432,526.269,resnet50,18,10,14,B-G-L,154.621,72.8828,236.607
4.2166,473.219,resnet50,18,4,14,B-G-L,82.0671,153.202,237.063
1.48009,822.328,resnet50,18,4,8,B-G-L,79.0887,64.6611,675.427
2.4011,599.81,resnet50,18,4,11,B-G-L,74.5054,107.795,416.113
4.22308,500.029,resnet50,18,7,14,B-G-L,132.64,129.27,236.686
2.40127,641.665,resnet50,18,7,11,B-G-L,123.853,87.3265,416.085
3.87198,258.266,resnet50,18,18,18,B-L-G,258.265,0,0
4.6001,547.878,resnet50,18,10,14,B-L-G,214.182,216.863,94.9448
2.70834,732.069,resnet50,18,4,14,B-L-G,73.0731,368.768,102.335
5.26404,448.37,resnet50,18,4,8,B-L-G,96.5564,161.312,189.616
3.37833,576.572,resnet50,18,4,11,B-L-G,72.9217,295.337,136.952
3.576,599.006,resnet50,18,7,14,B-L-G,121.337,278.518,97.1036
4.83195,472.049,resnet50,18,7,11,B-L-G,128.596,205.579,135.837
0.809498,1235.33,resnet50,18,18,18,L-G-B,1235.33,0,0
